source_ref,brand,name,category,dim_w,dim_d,dim_h,dim_unit,price_amount,price_currency,price_unit,fire_rating,acoustic_nrc,materials,colors,finish,weight_kg,lead_time_days,has_epd,embodied_carbon,certifications,images,thumbnail,model_3d_format,model_3d_uri
ACELSG,Nilkamal,Nilkamal Ace Plastic Chair,ffe/seating/task-chair,,,,mm,1860.0,INR,each,,,,,,,,false,,,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/Ace-Plastic-Chair.jpg?v=1773045865,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/Ace-Plastic-Chair.jpg?v=1773045865,,
ACEPNB/OM781,Nilkamal,Nilkamal Ace Plastic Chair With Cushion,ffe/seating/task-chair,,,,mm,2840.0,INR,each,,,,,,,,false,,,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/ACEPNBOM781.jpg?v=1760328817,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/ACEPNBOM781.jpg?v=1760328817,,
OLMNETCTSAN709BLK,Nilkamal,Nilkamal Alba Mid Back Office Chair (Black),ffe/seating/task-chair,,,,mm,9300.0,INR,each,,,,,,,,false,,,https://cdn.shopify.com/s/files/1/0044/1208/0217/products/NilkamalAlbaMidBackOfficeChair_Black.jpg?v=1662544784,https://cdn.shopify.com/s/files/1/0044/1208/0217/products/NilkamalAlbaMidBackOfficeChair_Black.jpg?v=1662544784,,
OLVNETCTLAC702BLK,Nilkamal,Nilkamal Alba Mid Back Visitor Chair (Black),ffe/seating/task-chair,,,,mm,8300.0,INR,each,,,,,,,,false,,,https://cdn.shopify.com/s/files/1/0044/1208/0217/products/OLVNETCTLAC702BLK.jpg?v=1662533165,https://cdn.shopify.com/s/files/1/0044/1208/0217/products/OLVNETCTLAC702BLK.jpg?v=1662533165,,
K2CRYTMWH/ARENAMWH,Nilkamal,Nilkamal Arena Chairs and Crystal Glass Top Coffee Table Plastic Outdoor Set (Milky White),ffe/seating/task-chair,,,,mm,15099.0,INR,each,,,Plastic,,,,,false,,,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/CRYSTALTBLMWH_ARENAWOCMWH_2.jpg?v=1781857670,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/CRYSTALTBLMWH_ARENAWOCMWH_2.jpg?v=1781857670,,
ARENAWCWLT1/RXNTAN,Nilkamal,Nilkamal Arena Cushioned Plastic Chair,ffe/seating/task-chair,,,,mm,6550.0,INR,each,,,,,,,,false,,,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/ARENAWCLBG_LME1BG.jpg?v=1777876382,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/ARENAWCLBG_LME1BG.jpg?v=1777876382,,
ARENAWOCMWH,Nilkamal,Nilkamal Arena Woven Style Plastic Chair without Cushion,ffe/seating/task-chair,,,,mm,4990.0,INR,each,,,,,,,,false,,,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/ARENAWOCMWH.jpg?v=1777876002,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/ARENAWOCMWH.jpg?v=1777876002,,
LBELGRADEHBOCBLK,Nilkamal,Nilkamal Belgrade High Back Office Chair,ffe/seating/task-chair,,,,mm,16200.0,INR,each,,,PU leather,,,,,false,,,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/2NilkamalBelgradeHighBackOfficeChairblack.jpg?v=1682675071,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/2NilkamalBelgradeHighBackOfficeChairblack.jpg?v=1682675071,,
BRZE2CHRCWBN,Nilkamal,"Nilkamal Breeze One Seater Plastic Sofa Chair with Cushion, Set of 2",ffe/seating/task-chair,,,,mm,10520.0,INR,each,,,,,,,,false,,,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/breeze2.webp?v=1753767135,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/breeze2.webp?v=1753767135,,
CHR2051MBG,Nilkamal,Nilkamal CHR2051 Plastic Arm Chair (Marble Beige),ffe/seating/task-chair,,,,mm,1160.0,INR,each,,,Plastic,,,,,false,,,https://cdn.shopify.com/s/files/1/0044/1208/0217/products/CHR2051MBG_270af113-e132-476d-a429-2c4e4f6a0339.jpg?v=1660985955,https://cdn.shopify.com/s/files/1/0044/1208/0217/products/CHR2051MBG_270af113-e132-476d-a429-2c4e4f6a0339.jpg?v=1660985955,,
CHR2051PRW,Nilkamal,Nilkamal CHR2051 Plastic Arm Chair (Pear Wood),ffe/seating/task-chair,,,,mm,1160.0,INR,each,,,,,,,,false,,,https://cdn.shopify.com/s/files/1/0044/1208/0217/products/CHR2051PRW_b036f515-16d2-4cd7-b98d-fc3c41d3527b.jpg?v=1660985576,https://cdn.shopify.com/s/files/1/0044/1208/0217/products/CHR2051PRW_b036f515-16d2-4cd7-b98d-fc3c41d3527b.jpg?v=1660985576,,
CHR2213IBK/KOR,Nilkamal,Nilkamal CHR2213 Plastic Arm Chair,ffe/seating/task-chair,,,,mm,1530.0,INR,each,,,,,,,,false,,,https://cdn.shopify.com/s/files/1/0044/1208/0217/products/CHR2213IBK_KOR.jpg?v=1659336091,https://cdn.shopify.com/s/files/1/0044/1208/0217/products/CHR2213IBK_KOR.jpg?v=1659336091,,
K2CTB2WBN/C2225WBN,Nilkamal,Nilkamal CHR2225 Chairs and Glass Top Coffee Table Plastic Outdoor Set (Weather Brown),ffe/seating/task-chair,,,,mm,7499.0,INR,each,,,Plastic,,,,,false,,,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/CENTBL2CARGWBN_CHR2225WBN_2.jpg?v=1781853308,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/CENTBL2CARGWBN_CHR2225WBN_2.jpg?v=1781853308,,
K2MYTQSRB/2225WBN,Nilkamal,Nilkamal CHR2225 Chairs and Mystique Glass Top Coffee Table Plastic Outdoor Set (Weather Brown & Season Rust Brown),ffe/seating/task-chair,,,,mm,7899.0,INR,each,,,plastic,,,,,false,,,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/MYSTIQUECTSRB_CHR2225WBN_2.jpg?v=1781859322,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/MYSTIQUECTSRB_CHR2225WBN_2.jpg?v=1781859322,,
K2CTB2WBN/C2226SRB,Nilkamal,Nilkamal CHR2226 Chairs and Glass Top Coffee Table Plastic Outdoor Set (Season Rust Brown/Biscuit & Weather Brown),ffe/seating/task-chair,,,,mm,7699.0,INR,each,,,Plastic,,,,,false,,,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/CENTBL2CARGWBN_CHR2226SRB-BST_2.jpg?v=1781853152,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/CENTBL2CARGWBN_CHR2226SRB-BST_2.jpg?v=1781853152,,
K2MYTQSRB/2226SRB,Nilkamal,Nilkamal CHR2226 Chairs and Mystique Glass Top Coffee Table Plastic Outdoor Set (Season Rust Brown & Biscuit),ffe/seating/task-chair,,,,mm,8099.0,INR,each,,,Plastic,,,,,false,,,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/MYSTIQUECTSRB_CHR2226SRB-BST_2_e056d8fc-d20c-4cb5-875c-d630e9c4f95e.jpg?v=1781859185,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/MYSTIQUECTSRB_CHR2226SRB-BST_2_e056d8fc-d20c-4cb5-875c-d630e9c4f95e.jpg?v=1781859185,,
CHR5027FPN,Nilkamal,Nilkamal CHR5027 Plastic Baby Armless Chair,ffe/seating/task-chair,,,,mm,600.0,INR,each,,,plastic,,,,,false,,,https://cdn.shopify.com/s/files/1/0044/1208/0217/products/CHR5027FPN.jpg?v=1659090252,https://cdn.shopify.com/s/files/1/0044/1208/0217/products/CHR5027FPN.jpg?v=1659090252,,
CHR5027GNS,Nilkamal,Nilkamal CHR5027 Plastic Baby Armless Chair (Spring Green),ffe/seating/task-chair,,,,mm,600.0,INR,each,,,plastic,,,,,false,,,https://cdn.shopify.com/s/files/1/0044/1208/0217/products/CHR5027GNS.jpg?v=1659090337,https://cdn.shopify.com/s/files/1/0044/1208/0217/products/CHR5027GNS.jpg?v=1659090337,,
K2CTB2WBN/CAPTNWBN,Nilkamal,Nilkamal Captain Chairs and Glass Top Coffee Table Plastic Outdoor Set (Season Rust Brown & Weather Brown),ffe/seating/task-chair,,,,mm,11099.0,INR,each,,,plastic,,,,,false,,,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/CENTBL2CARGWBN_CAPTNSRB-LTCSRB_2.jpg?v=1781853672,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/CENTBL2CARGWBN_CAPTNSRB-LTCSRB_2.jpg?v=1781853672,,
K2MYTQ/CPTNLTCSRB,Nilkamal,Nilkamal Captain Chairs and Mystique Glass Top Coffee Table Plastic Outdoor Set (Season Rust Brown),ffe/seating/task-chair,,,,mm,11499.0,INR,each,,,Plastic,,,,,false,,,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/MYSTIQUECTSRB_CAPTNSRB-LTCSRB_2.jpg?v=1781859630,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/MYSTIQUECTSRB_CAPTNSRB-LTCSRB_2.jpg?v=1781859630,,
CAPTNMTDARK/LT,Nilkamal,Nilkamal Captain Plastic Arm Chair With Leatherette Cushion (Metallic Dark),ffe/seating/task-chair,,,,mm,3880.0,INR,each,,,,,,,,false,,,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/CAPTAINMTDARK_b1a0ac12-abe9-4cba-bd70-1ed5bf83d8ba.jpg?v=1730788223,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/CAPTAINMTDARK_b1a0ac12-abe9-4cba-bd70-1ed5bf83d8ba.jpg?v=1730788223,,
K6CELDSTCH4002WBN,Nilkamal,Nilkamal Celebration 1 + 6 Chair Plastic Dining Set,ffe/seating/task-chair,,,,mm,13530.0,INR,each,,,,,,,,false,,,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/pebblely_39.jpg?v=1688128877,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/pebblely_39.jpg?v=1688128877,,
K2CTB2WBN/CLUBSRB,Nilkamal,Nilkamal Club Chairs and Glass Top Coffee Table Plastic Outdoor Set (Season Rust Brown & Weather Brown),ffe/seating/task-chair,,,,mm,10599.0,INR,each,,,Plastic,,,,,false,,,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/CENTBL2CARGWBN_CLUBSRB_2.jpg?v=1781852753,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/CENTBL2CARGWBN_CLUBSRB_2.jpg?v=1781852753,,
K2MYTQSRB/CLUBSRB,Nilkamal,Nilkamal Club Chairs and Mystique Glass Top Coffee Table Plastic Outdoor Set (Season Rust Brown),ffe/seating/task-chair,,,,mm,10999.0,INR,each,,,plastic,,,,,false,,,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/MYSTIQUECTSRB_CLUBSRB_2.jpg?v=1781858757,https://cdn.shopify.com/s/files/1/0044/1208/0217/files/MYSTIQUECTSRB_CLUBSRB_2.jpg?v=1781858757,,
