source_ref,brand,name,category,dim_w,dim_d,dim_h,dim_unit,price_amount,price_currency,price_unit,fire_rating,acoustic_nrc,materials,colors,finish,weight_kg,lead_time_days,has_epd,embodied_carbon,certifications,images,thumbnail,model_3d_format,model_3d_uri
feltright:oak-latte-wood-slat-ceiling-panel,FeltRight,Oak Latte Wood Slat Ceiling Panels,finishes/acoustic/wall-panel,,,,mm,54.95,USD,each,,,,,,,,false,,,https://cdn.shopify.com/s/files/1/0091/0272/1104/files/Oak_LatteCeilingWoodPDP03Angle.jpg?v=1762881072,https://cdn.shopify.com/s/files/1/0091/0272/1104/files/Oak_LatteCeilingWoodPDP03Angle.jpg?v=1762881072,,
feltright:walnut-wood-slat-ceiling-panel,FeltRight,Walnut Wood Slat Ceiling Panel,finishes/acoustic/wall-panel,,,,mm,54.95,USD,each,,,,,,,,false,,,https://cdn.shopify.com/s/files/1/0091/0272/1104/files/Walnut_Wood_Ceiling_Slat_Render.webp?v=1776445799,https://cdn.shopify.com/s/files/1/0091/0272/1104/files/Walnut_Wood_Ceiling_Slat_Render.webp?v=1776445799,,
feltright:18mm-layered-engraved-2x2-tile-blank-set-of-8,FeltRight,18mm Layered 2'x2' Tile – Blank (Set of 8),finishes/acoustic/wall-panel,,,,mm,424.95,USD,each,,,,,,,,false,,,https://cdn.shopify.com/s/files/1/0091/0272/1104/files/9mmEngravedTiles_Blank_Mineral_75063683-72e0-4558-8d40-cc385c5aaa2a.jpg?v=1781795161,https://cdn.shopify.com/s/files/1/0091/0272/1104/files/9mmEngravedTiles_Blank_Mineral_75063683-72e0-4558-8d40-cc385c5aaa2a.jpg?v=1781795161,,
feltright:9mm-engraved-2x2-tiles-converge-set-of-8-copy,FeltRight,9mm 2'x2' Tiles - Blank (Set of 8),finishes/acoustic/wall-panel,,,,mm,234.95,USD,each,,,,,,,,false,,,https://cdn.shopify.com/s/files/1/0091/0272/1104/files/9mmEngravedTiles_Blank_Ivory.jpg?v=1781794402,https://cdn.shopify.com/s/files/1/0091/0272/1104/files/9mmEngravedTiles_Blank_Ivory.jpg?v=1781794402,,
feltright:9mm-2x2-tile-blank,FeltRight,9mm 2'x2' Tile - Blank,finishes/acoustic/wall-panel,,,,mm,34.95,USD,each,,,,,,,,false,,,https://cdn.shopify.com/s/files/1/0091/0272/1104/files/9mmEngravedTiles_Blank_Ivory.jpg?v=1781794402,https://cdn.shopify.com/s/files/1/0091/0272/1104/files/9mmEngravedTiles_Blank_Ivory.jpg?v=1781794402,,
feltright:walnut-wood-wall-panels-for-office,FeltRight,Walnut Wood Wall Panels for Office,finishes/acoustic/wall-panel,,,,mm,219.95,USD,each,,,,,,,,false,,,https://cdn.shopify.com/s/files/1/0091/0272/1104/files/WalnutWoodSlatPDP2.jpg?v=1781625899,https://cdn.shopify.com/s/files/1/0091/0272/1104/files/WalnutWoodSlatPDP2.jpg?v=1781625899,,
feltright:walnut-wood-wall-panel-1,FeltRight,Walnut Wood Wall Panel,finishes/acoustic/wall-panel,,,,mm,219.95,USD,each,,,,,,,,false,,,https://cdn.shopify.com/s/files/1/0091/0272/1104/files/WalnutWoodSlatPDP3.jpg?v=1781625776,https://cdn.shopify.com/s/files/1/0091/0272/1104/files/WalnutWoodSlatPDP3.jpg?v=1781625776,,
feltright:walnut-wood-wall-panel,FeltRight,Walnut Wood Wall Panel,finishes/acoustic/wall-panel,,,,mm,219.95,USD,each,,,,,,,,false,,,https://cdn.shopify.com/s/files/1/0091/0272/1104/files/WalnutWoodSlatPDP4.jpg?v=1781625730,https://cdn.shopify.com/s/files/1/0091/0272/1104/files/WalnutWoodSlatPDP4.jpg?v=1781625730,,
feltright:oak-black-wood-wall-panel,FeltRight,Oak Black Wood Wall Panel,finishes/acoustic/wall-panel,,,,mm,219.95,USD,each,,,,,,,,false,,,https://cdn.shopify.com/s/files/1/0091/0272/1104/files/OakBlackWoodSlatPDP2.jpg?v=1781625381,https://cdn.shopify.com/s/files/1/0091/0272/1104/files/OakBlackWoodSlatPDP2.jpg?v=1781625381,,
feltright:oak-latte-wood-wall-panel-1,FeltRight,Oak Latte Wood Wall Panel,finishes/acoustic/wall-panel,,,,mm,219.95,USD,each,,,,,,,,false,,,https://cdn.shopify.com/s/files/1/0091/0272/1104/files/OakLatteWoodSlatPDP2.jpg?v=1781625226,https://cdn.shopify.com/s/files/1/0091/0272/1104/files/OakLatteWoodSlatPDP2.jpg?v=1781625226,,
feltright:oak-latte-wood-wall-panel,FeltRight,Oak Latte Wood Wall Panel,finishes/acoustic/wall-panel,,,,mm,219.95,USD,each,,,,,,,,false,,,https://cdn.shopify.com/s/files/1/0091/0272/1104/files/OakLatteWoodSlatPDP1.jpg?v=1781625109,https://cdn.shopify.com/s/files/1/0091/0272/1104/files/OakLatteWoodSlatPDP1.jpg?v=1781625109,,
feltright:teak-wood-panel-wainscoting,FeltRight,Teak Wood Panel Wainscoting,finishes/acoustic/wall-panel,,,,mm,219.95,USD,each,,,,,,,,false,,,https://cdn.shopify.com/s/files/1/0091/0272/1104/files/TeakWoodSlatWainscotingBluffdale.jpg?v=1781397439,https://cdn.shopify.com/s/files/1/0091/0272/1104/files/TeakWoodSlatWainscotingBluffdale.jpg?v=1781397439,,
inhabitliving:slats-varigated-harmonycarv-acoustic-felt-wall-panels,Inhabit Living,Slats Varigated HarmonyCARV Acoustic Felt Wall Panels,finishes/acoustic/wall-panel,,,,mm,12.00,USD,each,,,PET Felt,,,,,false,,,https://cdn.shopify.com/s/files/1/0941/7790/files/slats-varigated-harmonycarv-acoustic-felt-wall-panels-inhabit-433109.jpg?v=1730454245,https://cdn.shopify.com/s/files/1/0941/7790/files/slats-varigated-harmonycarv-acoustic-felt-wall-panels-inhabit-433109.jpg?v=1730454245,,
